District_code,State_name,District_name,Population,Literate,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Literate_Education,Illiterate_Education,Total_Education
232,BIHAR,Buxar,1706352,989807,331675,420187,256124,178044,89306,64117,5224,1344677,457814,1802491
233,BIHAR,Kaimur (Bhabua),1626384,920276,318859,294927,210899,147315,86815,70169,9576,1138560,551317,1689877
234,BIHAR,Rohtas,2959918,1799832,535187,548971,399053,333053,194928,161555,16006,2188753,876443,3065196
235,BIHAR,Aurangabad,2540073,1466002,559512,482199,302662,253142,136783,91371,8329,1833998,784131,2618129
236,BIHAR,Gaya,4391418,2297613,902272,757690,447480,342254,191824,131163,12047,2784730,1953368,4738098
237,BIHAR,Nawada,2219146,1091012,601011,368649,195072,161127,95943,64585,3130,1489517,1091439,2580956
238,BIHAR,Jamui,1760405,858588,420472,317612,153973,104211,56137,29633,3439,1085477,765297,1850774
239,BIHAR,Jehanabad,1125313,618881,211761,165906,117558,112966,68748,45519,3539,725997,495877,1221874
240,BIHAR,Arwal,700843,386351,123288,118311,80704,81975,48822,27945,1435,482480,290095,772575
241,SIKKIM,North  District,43709,30450,6030,8276,6181,3223,1993,1406,273,27382,7673,35055
